Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
200500000259,0,07,000,00,5,1,01,A01
200500000260,0,07,000,00,9,3,01,A01
200500000260,0,01,000,00,2,1,05,B02
200500000261,0,07,000,00,9,2,01,A01
200500000261,0,02,000,00,2,1,05,B02
200500000262,0,07,000,00,2,2,01,A01
200500000262,0,15,000,00,0,2,15,B02
200500000263,0,07,000,13,0,8,01,A01
200500000264,0,07,000,00,2,1,19,A01
200500000264,0,07,000,00,2,8,01,B02
200500000265,0,07,000,00,2,8,19,B02
200500000265,0,07,000,00,2,3,01,A01
200500000266,0,07,000,00,2,1,05,A01
200500000266,0,07,000,00,2,1,05,B02
200500000267,0,07,000,00,0,0,00,A01
200500000267,0,02,000,00,2,8,01,B02
200500000268,0,07,000,00,2,5,04,A01
200500000268,0,02,000,00,2,1,01,B02
200500000269,1,02,000,00,1,1,01,A01
200500000270,0,07,000,00,2,1,15,A01
200500000270,0,07,000,00,2,1,01,B02
200500000271,0,07,000,00,2,3,15,A01
200500000271,0,02,000,00,2,8,01,B02
200500000272,0,07,000,00,2,8,15,A01
200500000272,0,07,000,00,2,1,01,B02
200500000273,0,07,000,00,2,7,01,A01
200500000273,0,01,000,00,2,1,09,B02
200500000274,0,07,000,00,2,4,01,A01
200500000274,0,07,000,00,2,1,02,B02
200500000275,0,07,000,00,0,0,00,A01
200500000275,0,07,000,00,2,1,01,B02
200500000276,0,07,000,00,0,1,00,A01
200500000276,0,07,000,00,0,1,01,B02
200500000277,0,02,000,00,2,1,01,A01
200500000277,0,07,000,00,2,7,01,B02
200500000278,0,21,000,00,2,6,15,A01
200500000278,0,07,000,00,2,1,17,B02
200500000279,0,07,000,00,2,3,19,A01
200500000279,0,02,000,00,2,1,01,B02
200500000280,0,07,000,00,2,2,15,A01
200500000280,0,07,000,00,2,8,01,B02
200500000280,0,07,000,00,2,1,01,C03
200500000281,0,07,000,16,0,9,13,A01
200500000282,0,07,000,00,2,1,01,A01
200500000282,0,01,000,00,0,4,19,B02
200500000283,0,07,000,16,0,1,13,A01
200500000284,0,07,000,00,2,7,06,A01
200500000284,0,07,000,00,2,1,01,B02
200500000284,0,07,000,00,2,3,02,C03
200500000285,0,07,000,00,2,1,19,A01
200500000285,0,07,000,00,2,7,01,B02
200500000286,0,07,000,00,1,2,01,A01
200500000287,0,07,000,00,9,2,15,A01
200500000287,0,01,000,00,2,1,01,B02
200500000288,0,07,000,00,2,3,13,A01
200500000288,0,02,000,00,2,3,01,B02
200500000289,0,07,000,00,2,5,15,A01
200500000289,0,05,000,00,2,2,01,B02
200500000290,0,07,000,06,0,1,01,A01
200500000291,0,07,000,00,9,3,01,A01
200500000291,0,01,000,00,2,3,15,B02
200500000292,0,05,000,00,2,7,17,A01
200500000292,0,07,000,00,2,8,17,B02
200500000293,0,07,000,00,2,5,15,A01
200500000293,0,04,000,00,2,1,01,B02
200500000294,0,02,000,00,1,1,01,A01
200500000295,0,01,000,00,2,4,01,A01
200500000295,0,05,000,00,9,1,01,B02
200500000296,0,07,000,00,2,1,00,A01
200500000296,0,07,000,00,2,1,00,B02
200500000297,0,07,000,00,1,1,01,A01
200500000298,0,07,000,00,2,2,15,A01
200500000298,0,17,000,00,2,2,02,B02
200500000298,0,07,000,00,2,3,23,C03
200500000299,0,07,000,00,2,2,15,A01
200500000299,0,07,000,00,2,1,01,B02
200500000300,0,07,000,00,2,1,01,A01
200500000300,0,10,000,00,2,3,01,B02
200500000301,0,07,000,13,0,3,19,A01
200500000302,0,02,000,00,2,1,17,A01
200500000302,0,10,000,00,2,8,15,B02
200500000303,0,07,000,00,1,3,01,A01
200500000304,0,01,000,00,2,3,01,A01
200500000304,0,07,000,00,2,3,16,B02
200500000305,0,07,000,00,9,6,11,A01
200500000305,0,05,000,00,2,1,17,B02
200500000306,0,07,000,00,2,5,15,A01
200500000306,0,02,000,00,2,1,01,B02
200500000307,0,07,000,00,1,1,01,A01
200500000308,0,05,000,02,0,2,01,A01
200500000309,0,10,000,00,2,2,15,A01
200500000309,0,05,000,00,2,1,02,B02
200500000310,0,02,000,00,1,1,01,A01
200500000311,0,07,000,00,0,1,01,A01
200500000311,0,07,000,00,2,8,01,B02
200500000312,0,07,000,00,1,1,15,A01
200500000313,0,05,000,00,2,1,13,A01
200500000313,0,07,000,00,9,1,00,B02
200500000314,0,07,000,00,1,2,01,A01
200500000315,0,17,000,06,0,1,14,A01
200500000316,0,02,000,13,0,1,13,A01
200500000317,0,07,000,00,2,1,01,A01
200500000317,0,07,000,00,2,1,01,B02
