Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
200500000108,3,00117,0,,2,00,0,0,0,1,1,000,060,7,0,3,00
200500000109,2,00031,0,,3,02,0,0,0,1,1,010,190,0,0,1,00
200500000110,2,00016,0,,0,00,27,100,0,1,1,025,070,1,5,1,00
200500000111,6,00000,0,,1,00,0,0,0,0,1,000,000,1,0,1,00
200500000112,3,00929,9,,4,00,0,0,0,2,1,000,000,2,0,1,00
200500000113,3,00151,0,,2,02,0,0,0,2,1,000,000,7,0,3,00
200500000114,2,00001,0,,3,03,55,800,0,0,1,000,105,2,5,1,00
200500000115,3,00930,0,,2,02,27,0,0,2,1,000,074,1,0,3,00
200500000116,3,00200,0,,0,02,21,650,0,1,1,000,075,1,3,1,00
200500000117,3,00029,0,,2,00,0,0,0,2,4,010,071,9,0,3,00
200500000118,2,00016,0,,2,02,23,100,0,3,2,000,036,2,0,1,00
200500000119,2,00017,0,,0,02,0,0,0,1,1,000,000,1,0,1,00
200500000120,3,00929,0,,2,02,0,0,0,3,2,000,000,1,0,1,00
200500000121,3,00137,0,,2,02,6,700,0,1,1,000,070,2,0,1,00
200500000122,4,00000,0,,2,02,0,0,0,2,1,000,044,1,0,1,00
200500000123,3,00085,0,,2,02,52,0,0,1,1,000,059,1,0,3,00
200500000124,3,00973,0,,2,02,13,0,0,1,1,000,067,1,0,1,00
200500000125,2,01031,0,,2,02,0,0,0,2,1,000,071,1,0,1,00
200500000126,3,00015,0,,2,00,13,800,0,1,1,000,055,2,0,1,00
200500000127,3,00026,0,,2,00,0,0,0,1,2,075,000,1,0,1,00
200500000128,2,00017,0,,2,02,57,100,0,3,1,000,070,1,5,1,00
200500000129,3,00938,0,,2,02,0,0,0,0,1,000,000,1,0,1,00
200500000130,2,00017,0,,2,00,0,0,0,3,1,120,000,1,0,1,00
200500000131,3,00155,0,,2,00,0,0,0,1,1,000,073,2,0,1,00
200500000132,3,00078,0,,2,00,9,800,0,1,1,000,070,2,0,1,00
200500000133,3,00082,0,,2,02,0,0,0,1,1,000,047,1,5,1,00
200500000134,3,00934,0,,2,02,7,100,0,1,1,000,065,1,0,1,00
200500000135,2,00032,0,,2,02,83,350,0,3,1,000,070,2,0,1,00
200500000136,4,00000,0,,2,00,0,0,0,1,2,000,000,2,0,1,00
200500000137,3,00932,0,A,2,02,1,0,0,1,1,000,010,1,5,1,00
200500000138,3,00025,0,,2,02,0,0,0,1,1,000,000,2,0,1,00
200500000139,2,00001,0,,2,03,0,0,0,0,2,000,143,2,0,1,00
200500000140,3,00929,0,,2,02,0,0,0,1,2,000,074,1,0,1,00
200500000141,3,00923,0,,2,02,0,0,0,0,0,000,066,1,0,1,00
200500000142,2,00001,0,,1,00,0,0,0,2,1,070,000,1,5,1,00
200500000143,4,00003,0,,2,01,0,0,0,1,1,000,076,2,0,1,00
200500000144,3,00929,0,,2,00,0,0,0,0,1,000,066,1,0,1,00
200500000145,4,00000,0,,2,02,0,0,0,0,0,060,060,1,0,1,00
200500000146,3,00924,0,,0,00,0,0,0,0,1,000,070,8,0,3,00
200500000147,2,00016,0,,0,02,0,0,0,1,1,020,070,2,0,1,00
